timestamp,value,luz,bat
04.09.2023 04:01:07,0,0,160
04.09.2023 04:01:12,0,0,160
04.09.2023 04:01:18,0,0,160
04.09.2023 04:01:24,0,0,160
04.09.2023 04:01:29,0,0,160
04.09.2023 04:01:35,0,0,159
04.09.2023 04:01:40,0,0,160
04.09.2023 04:01:46,0,0,160
04.09.2023 04:01:52,0,0,160
04.09.2023 04:01:57,0,0,160
04.09.2023 04:02:03,0,0,160
04.09.2023 04:02:09,0,0,160
04.09.2023 04:02:14,0,0,160
04.09.2023 04:02:20,0,0,160
04.09.2023 04:02:25,0,0,160
04.09.2023 04:02:31,0,0,160
04.09.2023 04:02:37,0,0,160
04.09.2023 04:02:42,0,0,160
04.09.2023 04:02:48,0,0,160
04.09.2023 04:02:54,0,0,160
04.09.2023 04:02:59,0,0,160
04.09.2023 04:03:05,0,0,160
04.09.2023 04:03:10,0,0,160
04.09.2023 04:03:16,0,0,160
04.09.2023 04:03:22,0,0,160
04.09.2023 04:03:27,0,0,159
04.09.2023 04:03:33,0,0,160
04.09.2023 04:03:39,0,0,160
04.09.2023 04:03:44,0,0,160
04.09.2023 04:03:50,0,0,160
04.09.2023 04:03:55,0,0,160
04.09.2023 04:04:01,0,0,159
04.09.2023 04:04:07,0,0,160
04.09.2023 04:04:12,0,0,160
04.09.2023 04:04:18,0,0,160
04.09.2023 04:04:24,0,0,160
04.09.2023 04:04:29,0,0,160
04.09.2023 04:04:35,0,0,160
04.09.2023 04:04:40,0,0,160
04.09.2023 04:04:46,0,0,160
04.09.2023 04:04:52,0,0,159
04.09.2023 04:04:57,0,0,160
04.09.2023 04:05:03,0,0,160
04.09.2023 04:05:09,0,0,160
04.09.2023 04:05:14,0,0,160
04.09.2023 04:05:20,0,0,160
04.09.2023 04:05:25,0,0,160
04.09.2023 04:05:31,0,0,160
04.09.2023 04:05:37,0,0,160
04.09.2023 04:05:42,0,0,159
04.09.2023 04:05:48,0,0,160
04.09.2023 04:05:53,0,0,159
04.09.2023 04:05:59,0,0,160
04.09.2023 04:06:05,0,0,160
04.09.2023 04:06:10,0,0,160
04.09.2023 04:06:16,0,0,160
04.09.2023 04:06:22,0,0,160
04.09.2023 04:06:27,0,0,160
04.09.2023 04:06:33,0,0,159
04.09.2023 04:06:38,0,0,160
04.09.2023 04:06:44,0,0,160
04.09.2023 04:06:50,0,0,160
04.09.2023 04:06:55,0,0,160
04.09.2023 04:07:01,0,0,160
04.09.2023 04:07:07,0,0,160
04.09.2023 04:07:12,0,0,160
04.09.2023 04:07:18,0,0,160
04.09.2023 04:07:23,0,0,159
04.09.2023 04:07:29,0,0,160
04.09.2023 04:07:35,0,0,160
04.09.2023 04:07:40,0,0,160
04.09.2023 04:07:46,0,0,160
04.09.2023 04:07:52,0,0,160
04.09.2023 04:07:57,0,0,160
04.09.2023 04:08:03,0,0,160
04.09.2023 04:08:08,0,0,160
04.09.2023 04:08:14,0,0,160
04.09.2023 04:08:20,0,0,159
04.09.2023 04:08:25,0,0,160
04.09.2023 04:08:31,0,0,160
04.09.2023 04:08:37,0,0,160
04.09.2023 04:08:42,0,0,160
04.09.2023 04:08:48,0,0,159
04.09.2023 04:08:53,0,0,160
04.09.2023 04:08:59,0,0,160
04.09.2023 04:09:05,0,0,159
04.09.2023 04:09:10,0,0,160
04.09.2023 04:09:16,0,0,160
04.09.2023 04:09:22,0,0,159
04.09.2023 04:09:27,0,0,160
04.09.2023 04:09:33,0,0,160
04.09.2023 04:09:38,0,0,160
04.09.2023 04:09:44,0,0,160
04.09.2023 04:09:50,0,0,160
04.09.2023 04:09:55,0,0,160
04.09.2023 04:10:01,0,0,160
04.09.2023 04:10:06,0,0,160
04.09.2023 04:10:12,0,0,160
04.09.2023 04:10:18,0,0,160
04.09.2023 04:10:23,0,0,160
04.09.2023 04:10:29,0,0,159
04.09.2023 04:10:35,0,0,160
04.09.2023 04:10:40,0,0,160
04.09.2023 04:10:46,0,0,160
04.09.2023 04:10:51,0,0,160
04.09.2023 04:10:57,0,0,160
